0_0: fig|200643.10.peg.10
0_1727: fig|200643.10.peg.1445
0_1728: fig|200643.10.peg.1446
0_1729: fig|200643.10.peg.1447
0_1730: fig|200643.10.peg.1448
0_1731: fig|200643.10.peg.1451
0_1732: fig|200643.10.peg.1452
0_1733: fig|200643.10.peg.1453
0_1734: fig|200643.10.peg.124
0_1735: fig|200643.10.peg.1099
0_1736: fig|200643.10.peg.625
0_1737: fig|200643.10.peg.1232
0_1738: fig|200643.10.peg.55
0_1739: fig|200643.10.peg.1230
0_1740: fig|200643.10.peg.1359
0_1741: fig|200643.10.peg.569
0_1742: fig|200643.10.peg.367
0_1743: fig|200643.10.peg.40
0_1744: fig|200643.10.peg.1651
0_1745: fig|200643.10.peg.554
0_1746: fig|200643.10.peg.1664
0_1747: fig|200643.10.peg.1
0_1748: fig|200643.10.peg.1139
0_1749: fig|200643.10.peg.459
0_1750: fig|200643.10.peg.1146
0_1751: fig|200643.10.peg.1236
0_1752: fig|200643.10.peg.103
0_1753: fig|200643.10.peg.268
0_1754: fig|200643.10.peg.269
0_1755: fig|200643.10.peg.760
0_1756: fig|200643.10.peg.761
0_1757: fig|200643.10.peg.1454
0_1758: fig|200643.10.peg.1455
0_1759: fig|200643.10.peg.1456
0_1760: fig|200643.10.peg.1834
0_1761: fig|200643.10.peg.1781
0_1762: fig|200643.10.peg.414
0_1763: fig|200643.10.peg.946
0_1764: fig|200643.10.peg.645
0_1765: fig|200643.10.peg.753
0_1766: fig|200643.10.peg.206
0_1767: fig|200643.10.peg.1091
0_1768: fig|200643.10.peg.1260
0_1769: fig|200643.10.peg.1193
0_1770: fig|200643.10.peg.792
0_1771: fig|200643.10.peg.173
0_1772: fig|200643.10.peg.1487
0_1773: fig|200643.10.peg.1701
0_1774: fig|200643.10.peg.1014
0_1775: fig|200643.10.peg.202
0_1776: fig|200643.10.peg.1025
0_1777: fig|200643.10.peg.1868
0_1778: fig|200643.10.peg.1189
0_1779: fig|200643.10.peg.1352
0_1780: fig|200643.10.peg.1702
0_1781: fig|200643.10.peg.1703
0_1782: fig|200643.10.peg.3
0_1783: fig|200643.10.peg.644
0_1784: fig|200643.10.peg.1245
0_1785: fig|200643.10.peg.256
0_1786: fig|200643.10.peg.1443
0_1787: fig|200643.10.peg.1582
0_1788: fig|200643.10.peg.631
0_1789: fig|200643.10.peg.1523
0_1790: fig|200643.10.peg.381
0_1791: fig|200643.10.peg.752
0_1792: fig|200643.10.peg.1246
0_1793: fig|200643.10.peg.1483
0_1794: fig|200643.10.peg.12
0_1795: fig|200643.10.peg.29
0_1796: fig|200643.10.peg.481
0_1797: fig|200643.10.peg.598
0_1798: fig|200643.10.peg.1237
0_1799: fig|200643.10.peg.547
0_1800: fig|200643.10.peg.1897
0_1801: fig|200643.10.peg.159
0_1802: fig|200643.10.peg.417
0_1803: fig|200643.10.peg.551
0_1804: fig|200643.10.peg.1055
0_1805: fig|200643.10.peg.1264
0_1806: fig|200643.10.peg.1853
0_1807: fig|200643.10.peg.842
0_1808: fig|200643.10.peg.634
0_1809: fig|200643.10.peg.751
0_1810: fig|200643.10.peg.1244
0_1811: fig|200643.10.peg.365
0_1812: fig|200643.10.peg.425
0_1813: fig|200643.10.peg.635
0_1814: fig|200643.10.peg.1364
0_1815: fig|200643.10.peg.643
0_1816: fig|200643.10.peg.1358
0_1817: fig|200643.10.peg.1013
0_1818: fig|200643.10.peg.1636
0_1819: fig|200643.10.peg.1311
0_1820: fig|200643.10.peg.27
0_1821: fig|200643.10.peg.1638
0_1822: fig|200643.10.peg.1758
0_1823: fig|200643.10.peg.1854
0_1824: fig|200643.10.peg.838
0_1825: fig|200643.10.peg.1228
0_1826: fig|200643.10.peg.235
0_1827: fig|200643.10.peg.311
0_1828: fig|200643.10.peg.1012
0_1829: fig|200643.10.peg.1797
0_1830: fig|200643.10.peg.1803
0_1831: fig|200643.10.peg.798
0_1832: fig|200643.10.peg.1220
0_1833: fig|200643.10.peg.1181
0_1834: fig|200643.10.peg.586
0_1835: fig|200643.10.peg.1516
0_1836: fig|200643.10.peg.1222
0_1837: fig|200643.10.peg.102
0_1838: fig|200643.10.peg.234
0_1839: fig|200643.10.peg.933
0_1840: fig|200643.10.peg.1306
0_1841: fig|200643.10.peg.1217
0_1842: fig|200643.10.peg.1493
0_1843: fig|200643.10.peg.1494
0_1844: fig|200643.10.peg.5
0_1845: fig|200643.10.peg.900
0_1846: fig|200643.10.peg.1291
0_1847: fig|200643.10.peg.444
0_1848: fig|200643.10.peg.1044
0_1849: fig|200643.10.peg.1297
0_1850: fig|200643.10.peg.1583
0_1851: fig|200643.10.peg.113
0_1852: fig|200643.10.peg.262
0_1853: fig|200643.10.peg.767
0_1854: fig|200643.10.peg.1449
0_1855: fig|200643.10.peg.965
0_1856: fig|200643.10.peg.384
0_1857: fig|200643.10.peg.1735
0_1858: fig|200643.10.peg.1231
0_1859: fig|200643.10.peg.1474
0_1860: fig|200643.10.peg.1862
0_1861: fig|200643.10.peg.395
0_1862: fig|200643.10.peg.1226
0_1863: fig|200643.10.peg.1476
0_1864: fig|200643.10.peg.143
0_1865: fig|200643.10.peg.219
0_1866: fig|200643.10.peg.1757
0_1867: fig|200643.10.peg.226
0_1868: fig|200643.10.peg.109
0_1869: fig|200643.10.peg.805
0_1870: fig|200643.10.peg.1243
0_1871: fig|200643.10.peg.200
0_1872: fig|200643.10.peg.1575
0_1873: fig|200643.10.peg.108
0_1874: fig|200643.10.peg.204
0_1875: fig|200643.10.peg.1484
0_1876: fig|200643.10.peg.120
0_1877: fig|200643.10.peg.377
0_1878: fig|200643.10.peg.398
0_1879: fig|200643.10.peg.507
0_1880: fig|200643.10.peg.692
0_1881: fig|200643.10.peg.4
0_1882: fig|200643.10.peg.263
0_1883: fig|200643.10.peg.766
0_1884: fig|200643.10.peg.895
0_1885: fig|200643.10.peg.1450
0_1886: fig|200643.10.peg.600
0_1887: fig|200643.10.peg.890
0_1888: fig|200643.10.peg.1238
0_1889: fig|200643.10.peg.1911
0_1890: fig|200643.10.peg.922
0_1891: fig|200643.10.peg.940
0_1892: fig|200643.10.peg.1338
0_1893: fig|200643.10.peg.1377
0_1894: fig|200643.10.peg.1569
0_1895: fig|200643.10.peg.7
0_1896: fig|200643.10.peg.272
0_1897: fig|200643.10.peg.754
0_1898: fig|200643.10.peg.759
0_1899: fig|200643.10.peg.818
0_1900: fig|200643.10.peg.613
0_1901: fig|200643.10.peg.1869
0_1902: fig|200643.10.peg.1912
0_1903: fig|200643.10.peg.2
0_1904: fig|200643.10.peg.199
0_1905: fig|200643.10.peg.484
0_1906: fig|200643.10.peg.612
0_1907: fig|200643.10.peg.1015
0_1908: fig|200643.10.peg.1585
0_1909: fig|200643.10.peg.568
0_1910: fig|200643.10.peg.1258
0_1911: fig|200643.10.peg.1439
1_0: fig|200643.8.peg.1
1_1: fig|200643.8.peg.4
1_2: fig|200643.8.peg.6
1_3: fig|200643.8.peg.7
1_4: fig|200643.8.peg.11
1_5: fig|200643.8.peg.13
1_6: fig|200643.8.peg.14
1_7: fig|200643.8.peg.17
1_8: fig|200643.8.peg.18
1_9: fig|200643.8.peg.19
1_10: fig|200643.8.peg.20
1_11: fig|200643.8.peg.21
1_12: fig|200643.8.peg.23
1_13: fig|200643.8.peg.24
1_14: fig|200643.8.peg.25
1_15: fig|200643.8.peg.26
1_16: fig|200643.8.peg.27
1_17: fig|200643.8.peg.29
1_18: fig|200643.8.peg.31
1_19: fig|200643.8.peg.32
1_20: fig|200643.8.peg.35
1_21: fig|200643.8.peg.36
1_22: fig|200643.8.peg.38
1_23: fig|200643.8.peg.41
1_24: fig|200643.8.peg.42
1_25: fig|200643.8.peg.45
1_26: fig|200643.8.peg.51
1_27: fig|200643.8.peg.52
1_28: fig|200643.8.peg.53
1_29: fig|200643.8.peg.54
1_30: fig|200643.8.peg.58
1_31: fig|200643.8.peg.60
1_32: fig|200643.8.peg.64
1_33: fig|200643.8.peg.68
1_34: fig|200643.8.peg.69
1_35: fig|200643.8.peg.71
1_36: fig|200643.8.peg.72
1_37: fig|200643.8.peg.73
1_38: fig|200643.8.peg.74
1_39: fig|200643.8.peg.78
1_40: fig|200643.8.peg.79
1_41: fig|200643.8.peg.80
1_42: fig|200643.8.peg.81
1_43: fig|200643.8.peg.85
1_44: fig|200643.8.peg.86
1_45: fig|200643.8.peg.87
1_46: fig|200643.8.peg.88
1_47: fig|200643.8.peg.90
1_48: fig|200643.8.peg.91
1_49: fig|200643.8.peg.92
1_50: fig|200643.8.peg.93
1_51: fig|200643.8.peg.94
1_52: fig|200643.8.peg.99
1_53: fig|200643.8.peg.100
1_54: fig|200643.8.peg.101
1_55: fig|200643.8.peg.102
1_56: fig|200643.8.peg.103
1_57: fig|200643.8.peg.105
1_58: fig|200643.8.peg.108
1_59: fig|200643.8.peg.111
1_60: fig|200643.8.peg.112
1_61: fig|200643.8.peg.113
1_62: fig|200643.8.peg.115
1_63: fig|200643.8.peg.116
1_64: fig|200643.8.peg.117
1_65: fig|200643.8.peg.118
1_66: fig|200643.8.peg.121
1_67: fig|200643.8.peg.122
1_68: fig|200643.8.peg.123
1_69: fig|200643.8.peg.125
1_70: fig|200643.8.peg.127
1_71: fig|200643.8.peg.128
1_72: fig|200643.8.peg.130
1_73: fig|200643.8.peg.131
1_74: fig|200643.8.peg.133
1_75: fig|200643.8.peg.134
1_76: fig|200643.8.peg.135
1_77: fig|200643.8.peg.137
1_78: fig|200643.8.peg.138
1_79: fig|200643.8.peg.140
1_80: fig|200643.8.peg.143
1_81: fig|200643.8.peg.144
1_82: fig|200643.8.peg.146
1_83: fig|200643.8.peg.147
1_84: fig|200643.8.peg.151
1_85: fig|200643.8.peg.152
1_86: fig|200643.8.peg.153
1_87: fig|200643.8.peg.157
1_88: fig|200643.8.peg.158
1_89: fig|200643.8.peg.162
1_90: fig|200643.8.peg.163
1_91: fig|200643.8.peg.164
1_92: fig|200643.8.peg.165
1_93: fig|200643.8.peg.166
1_94: fig|200643.8.peg.168
1_95: fig|200643.8.peg.169
1_96: fig|200643.8.peg.170
1_97: fig|200643.8.peg.171
1_98: fig|200643.8.peg.172
1_99: fig|200643.8.peg.173
1_100: fig|200643.8.peg.174
1_101: fig|200643.8.peg.176
1_102: fig|200643.8.peg.177
1_103: fig|200643.8.peg.178
1_104: fig|200643.8.peg.180
1_105: fig|200643.8.peg.181
1_106: fig|200643.8.peg.182
1_107: fig|200643.8.peg.186
1_108: fig|200643.8.peg.187
1_109: fig|200643.8.peg.188
1_110: fig|200643.8.peg.189
1_111: fig|200643.8.peg.190
1_112: fig|200643.8.peg.191
1_113: fig|200643.8.peg.194
1_114: fig|200643.8.peg.195
1_115: fig|200643.8.peg.197
1_116: fig|200643.8.peg.199
1_117: fig|200643.8.peg.200
1_118: fig|200643.8.peg.201
1_119: fig|200643.8.peg.203
1_120: fig|200643.8.peg.204
1_121: fig|200643.8.peg.205
1_122: fig|200643.8.peg.207
1_123: fig|200643.8.peg.209
1_124: fig|200643.8.peg.212
1_125: fig|200643.8.peg.213
1_126: fig|200643.8.peg.215
1_127: fig|200643.8.peg.216
1_128: fig|200643.8.peg.217
1_129: fig|200643.8.peg.218
1_130: fig|200643.8.peg.220
1_131: fig|200643.8.peg.221
1_132: fig|200643.8.peg.226
1_133: fig|200643.8.peg.230
1_134: fig|200643.8.peg.231
1_135: fig|200643.8.peg.233
1_136: fig|200643.8.peg.234
1_137: fig|200643.8.peg.235
1_138: fig|200643.8.peg.241
1_139: fig|200643.8.peg.242
1_140: fig|200643.8.peg.243
1_141: fig|200643.8.peg.244
1_142: fig|200643.8.peg.246
1_143: fig|200643.8.peg.247
1_144: fig|200643.8.peg.259
1_145: fig|200643.8.peg.260
1_146: fig|200643.8.peg.261
1_147: fig|200643.8.peg.262
1_148: fig|200643.8.peg.263
1_149: fig|200643.8.peg.264
1_150: fig|200643.8.peg.266
1_151: fig|200643.8.peg.267
1_152: fig|200643.8.peg.269
1_153: fig|200643.8.peg.270
1_154: fig|200643.8.peg.271
1_155: fig|200643.8.peg.278
1_156: fig|200643.8.peg.279
1_157: fig|200643.8.peg.280
1_158: fig|200643.8.peg.281
1_159: fig|200643.8.peg.282
1_160: fig|200643.8.peg.283
1_161: fig|200643.8.peg.284
1_162: fig|200643.8.peg.285
1_163: fig|200643.8.peg.286
1_164: fig|200643.8.peg.288
1_165: fig|200643.8.peg.289
1_166: fig|200643.8.peg.294
1_167: fig|200643.8.peg.295
1_168: fig|200643.8.peg.296
1_169: fig|200643.8.peg.297
1_170: fig|200643.8.peg.298
1_171: fig|200643.8.peg.299
1_172: fig|200643.8.peg.300
1_173: fig|200643.8.peg.301
1_174: fig|200643.8.peg.303
1_175: fig|200643.8.peg.307
1_176: fig|200643.8.peg.308
1_177: fig|200643.8.peg.309
1_178: fig|200643.8.peg.315
1_179: fig|200643.8.peg.317
1_180: fig|200643.8.peg.318
1_181: fig|200643.8.peg.320
1_182: fig|200643.8.peg.322
1_183: fig|200643.8.peg.323
1_184: fig|200643.8.peg.324
1_185: fig|200643.8.peg.337
1_186: fig|200643.8.peg.338
1_187: fig|200643.8.peg.341
1_188: fig|200643.8.peg.343
1_189: fig|200643.8.peg.344
1_190: fig|200643.8.peg.345
1_191: fig|200643.8.peg.346
1_192: fig|200643.8.peg.347
1_193: fig|200643.8.peg.349
1_194: fig|200643.8.peg.351
1_195: fig|200643.8.peg.352
1_196: fig|200643.8.peg.353
1_197: fig|200643.8.peg.354
1_198: fig|200643.8.peg.355
1_199: fig|200643.8.peg.359
1_200: fig|200643.8.peg.360
1_201: fig|200643.8.peg.362
1_202: fig|200643.8.peg.363
1_203: fig|200643.8.peg.364
1_204: fig|200643.8.peg.366
1_205: fig|200643.8.peg.369
1_206: fig|200643.8.peg.371
1_207: fig|200643.8.peg.375
1_208: fig|200643.8.peg.378
1_209: fig|200643.8.peg.380
1_210: fig|200643.8.peg.381
1_211: fig|200643.8.peg.384
1_212: fig|200643.8.peg.386
1_213: fig|200643.8.peg.389
1_214: fig|200643.8.peg.390
1_215: fig|200643.8.peg.391
1_216: fig|200643.8.peg.394
1_217: fig|200643.8.peg.395
1_218: fig|200643.8.peg.396
1_219: fig|200643.8.peg.397
1_220: fig|200643.8.peg.398
1_221: fig|200643.8.peg.400
1_222: fig|200643.8.peg.401
1_223: fig|200643.8.peg.403
1_224: fig|200643.8.peg.404
1_225: fig|200643.8.peg.405
1_226: fig|200643.8.peg.406
1_227: fig|200643.8.peg.411
1_228: fig|200643.8.peg.412
1_229: fig|200643.8.peg.413
1_230: fig|200643.8.peg.414
1_231: fig|200643.8.peg.416
1_232: fig|200643.8.peg.417
1_233: fig|200643.8.peg.419
1_234: fig|200643.8.peg.420
1_235: fig|200643.8.peg.424
1_236: fig|200643.8.peg.425
1_237: fig|200643.8.peg.426
1_238: fig|200643.8.peg.428
1_239: fig|200643.8.peg.429
1_240: fig|200643.8.peg.430
1_241: fig|200643.8.peg.431
1_242: fig|200643.8.peg.433
1_243: fig|200643.8.peg.434
1_244: fig|200643.8.peg.435
1_245: fig|200643.8.peg.436
1_246: fig|200643.8.peg.437
1_247: fig|200643.8.peg.439
1_248: fig|200643.8.peg.440
1_249: fig|200643.8.peg.441
1_250: fig|200643.8.peg.442
1_251: fig|200643.8.peg.443
1_252: fig|200643.8.peg.449
1_253: fig|200643.8.peg.472
1_254: fig|200643.8.peg.482
1_255: fig|200643.8.peg.483
1_256: fig|200643.8.peg.486
1_257: fig|200643.8.peg.487
1_258: fig|200643.8.peg.488
1_259: fig|200643.8.peg.489
1_260: fig|200643.8.peg.490
1_261: fig|200643.8.peg.491
1_262: fig|200643.8.peg.493
1_263: fig|200643.8.peg.494
1_264: fig|200643.8.peg.496
1_265: fig|200643.8.peg.500
1_266: fig|200643.8.peg.503
1_267: fig|200643.8.peg.505
1_268: fig|200643.8.peg.506
1_269: fig|200643.8.peg.507
1_270: fig|200643.8.peg.509
1_271: fig|200643.8.peg.510
1_272: fig|200643.8.peg.513
1_273: fig|200643.8.peg.515
1_274: fig|200643.8.peg.516
1_275: fig|200643.8.peg.519
1_276: fig|200643.8.peg.520
1_277: fig|200643.8.peg.521
1_278: fig|200643.8.peg.523
1_279: fig|200643.8.peg.525
1_280: fig|200643.8.peg.527
1_281: fig|200643.8.peg.530
1_282: fig|200643.8.peg.532
1_283: fig|200643.8.peg.535
1_284: fig|200643.8.peg.536
1_285: fig|200643.8.peg.537
1_286: fig|200643.8.peg.538
1_287: fig|200643.8.peg.539
1_288: fig|200643.8.peg.541
1_289: fig|200643.8.peg.542
1_290: fig|200643.8.peg.543
1_291: fig|200643.8.peg.546
1_292: fig|200643.8.peg.547
1_293: fig|200643.8.peg.548
1_294: fig|200643.8.peg.549
1_295: fig|200643.8.peg.550
1_296: fig|200643.8.peg.552
1_297: fig|200643.8.peg.555
1_298: fig|200643.8.peg.556
1_299: fig|200643.8.peg.559
1_300: fig|200643.8.peg.561
1_301: fig|200643.8.peg.562
1_302: fig|200643.8.peg.565
1_303: fig|200643.8.peg.568
1_304: fig|200643.8.peg.571
1_305: fig|200643.8.peg.579
1_306: fig|200643.8.peg.580
1_307: fig|200643.8.peg.581
1_308: fig|200643.8.peg.582
1_309: fig|200643.8.peg.583
1_310: fig|200643.8.peg.584
1_311: fig|200643.8.peg.585
1_312: fig|200643.8.peg.591
1_313: fig|200643.8.peg.592
1_314: fig|200643.8.peg.605
1_315: fig|200643.8.peg.606
1_316: fig|200643.8.peg.607
1_317: fig|200643.8.peg.609
1_318: fig|200643.8.peg.610
1_319: fig|200643.8.peg.612
1_320: fig|200643.8.peg.613
1_321: fig|200643.8.peg.615
1_322: fig|200643.8.peg.617
1_323: fig|200643.8.peg.618
1_324: fig|200643.8.peg.621
1_325: fig|200643.8.peg.623
1_326: fig|200643.8.peg.626
1_327: fig|200643.8.peg.627
1_328: fig|200643.8.peg.629
1_329: fig|200643.8.peg.636
1_330: fig|200643.8.peg.637
1_331: fig|200643.8.peg.639
1_332: fig|200643.8.peg.640
1_333: fig|200643.8.peg.645
1_334: fig|200643.8.peg.648
1_335: fig|200643.8.peg.649
1_336: fig|200643.8.peg.650
1_337: fig|200643.8.peg.651
1_338: fig|200643.8.peg.652
1_339: fig|200643.8.peg.653
1_340: fig|200643.8.peg.654
1_341: fig|200643.8.peg.655
1_342: fig|200643.8.peg.656
1_343: fig|200643.8.peg.657
1_344: fig|200643.8.peg.658
1_345: fig|200643.8.peg.659
1_346: fig|200643.8.peg.663
1_347: fig|200643.8.peg.664
1_348: fig|200643.8.peg.665
1_349: fig|200643.8.peg.672
1_350: fig|200643.8.peg.675
1_351: fig|200643.8.peg.676
1_352: fig|200643.8.peg.677
1_353: fig|200643.8.peg.678
1_354: fig|200643.8.peg.679
1_355: fig|200643.8.peg.680
1_356: fig|200643.8.peg.681
1_357: fig|200643.8.peg.684
1_358: fig|200643.8.peg.685
1_359: fig|200643.8.peg.686
1_360: fig|200643.8.peg.689
1_361: fig|200643.8.peg.690
1_362: fig|200643.8.peg.697
1_363: fig|200643.8.peg.705
1_364: fig|200643.8.peg.706
1_365: fig|200643.8.peg.709
1_366: fig|200643.8.peg.710
1_367: fig|200643.8.peg.711
1_368: fig|200643.8.peg.712
1_369: fig|200643.8.peg.713
1_370: fig|200643.8.peg.714
1_371: fig|200643.8.peg.715
1_372: fig|200643.8.peg.716
1_373: fig|200643.8.peg.717
1_374: fig|200643.8.peg.718
1_375: fig|200643.8.peg.719
1_376: fig|200643.8.peg.720
1_377: fig|200643.8.peg.721
1_378: fig|200643.8.peg.722
1_379: fig|200643.8.peg.723
1_380: fig|200643.8.peg.724
1_381: fig|200643.8.peg.725
1_382: fig|200643.8.peg.726
1_383: fig|200643.8.peg.727
1_384: fig|200643.8.peg.729
1_385: fig|200643.8.peg.730
1_386: fig|200643.8.peg.734
1_387: fig|200643.8.peg.759
1_388: fig|200643.8.peg.760
1_389: fig|200643.8.peg.761
1_390: fig|200643.8.peg.762
1_391: fig|200643.8.peg.763
1_392: fig|200643.8.peg.764
1_393: fig|200643.8.peg.765
1_394: fig|200643.8.peg.766
1_395: fig|200643.8.peg.768
1_396: fig|200643.8.peg.769
1_397: fig|200643.8.peg.770
1_398: fig|200643.8.peg.772
1_399: fig|200643.8.peg.773
1_400: fig|200643.8.peg.774
1_401: fig|200643.8.peg.776
1_402: fig|200643.8.peg.781
1_403: fig|200643.8.peg.784
1_404: fig|200643.8.peg.785
1_405: fig|200643.8.peg.788
1_406: fig|200643.8.peg.789
1_407: fig|200643.8.peg.790
1_408: fig|200643.8.peg.791
1_409: fig|200643.8.peg.798
1_410: fig|200643.8.peg.799
1_411: fig|200643.8.peg.800
1_412: fig|200643.8.peg.801
1_413: fig|200643.8.peg.804
1_414: fig|200643.8.peg.808
1_415: fig|200643.8.peg.809
1_416: fig|200643.8.peg.825
1_417: fig|200643.8.peg.827
1_418: fig|200643.8.peg.830
1_419: fig|200643.8.peg.831
1_420: fig|200643.8.peg.832
1_421: fig|200643.8.peg.834
1_422: fig|200643.8.peg.835
1_423: fig|200643.8.peg.837
1_424: fig|200643.8.peg.838
1_425: fig|200643.8.peg.840
1_426: fig|200643.8.peg.841
1_427: fig|200643.8.peg.842
1_428: fig|200643.8.peg.844
1_429: fig|200643.8.peg.845
1_430: fig|200643.8.peg.848
1_431: fig|200643.8.peg.849
1_432: fig|200643.8.peg.850
1_433: fig|200643.8.peg.852
1_434: fig|200643.8.peg.863
1_435: fig|200643.8.peg.864
1_436: fig|200643.8.peg.870
1_437: fig|200643.8.peg.872
1_438: fig|200643.8.peg.873
1_439: fig|200643.8.peg.875
1_440: fig|200643.8.peg.876
1_441: fig|200643.8.peg.877
1_442: fig|200643.8.peg.878
1_443: fig|200643.8.peg.880
1_444: fig|200643.8.peg.881
1_445: fig|200643.8.peg.883
1_446: fig|200643.8.peg.884
1_447: fig|200643.8.peg.892
1_448: fig|200643.8.peg.893
1_449: fig|200643.8.peg.896
1_450: fig|200643.8.peg.897
1_451: fig|200643.8.peg.898
1_452: fig|200643.8.peg.899
1_453: fig|200643.8.peg.900
1_454: fig|200643.8.peg.901
1_455: fig|200643.8.peg.903
1_456: fig|200643.8.peg.904
1_457: fig|200643.8.peg.905
1_458: fig|200643.8.peg.909
1_459: fig|200643.8.peg.910
1_460: fig|200643.8.peg.912
1_461: fig|200643.8.peg.913
1_462: fig|200643.8.peg.915
1_463: fig|200643.8.peg.916
1_464: fig|200643.8.peg.917
1_465: fig|200643.8.peg.918
1_466: fig|200643.8.peg.919
1_467: fig|200643.8.peg.920
1_468: fig|200643.8.peg.921
1_469: fig|200643.8.peg.922
1_470: fig|200643.8.peg.923
1_471: fig|200643.8.peg.924
1_472: fig|200643.8.peg.925
1_473: fig|200643.8.peg.926
1_474: fig|200643.8.peg.927
1_475: fig|200643.8.peg.930
1_476: fig|200643.8.peg.932
1_477: fig|200643.8.peg.933
1_478: fig|200643.8.peg.934
1_479: fig|200643.8.peg.937
1_480: fig|200643.8.peg.938
1_481: fig|200643.8.peg.939
1_482: fig|200643.8.peg.940
1_483: fig|200643.8.peg.941
1_484: fig|200643.8.peg.943
1_485: fig|200643.8.peg.946
1_486: fig|200643.8.peg.948
1_487: fig|200643.8.peg.950
1_488: fig|200643.8.peg.952
1_489: fig|200643.8.peg.954
1_490: fig|200643.8.peg.958
1_491: fig|200643.8.peg.964
1_492: fig|200643.8.peg.965
1_493: fig|200643.8.peg.966
1_494: fig|200643.8.peg.967
1_495: fig|200643.8.peg.969
1_496: fig|200643.8.peg.970
1_497: fig|200643.8.peg.971
1_498: fig|200643.8.peg.972
1_499: fig|200643.8.peg.973
1_500: fig|200643.8.peg.974
1_501: fig|200643.8.peg.975
1_502: fig|200643.8.peg.976
1_503: fig|200643.8.peg.977
1_504: fig|200643.8.peg.980
1_505: fig|200643.8.peg.1009
1_506: fig|200643.8.peg.1012
1_507: fig|200643.8.peg.1013
1_508: fig|200643.8.peg.1014
1_509: fig|200643.8.peg.1015
1_510: fig|200643.8.peg.1016
1_511: fig|200643.8.peg.1017
1_512: fig|200643.8.peg.1018
1_513: fig|200643.8.peg.1019
1_514: fig|200643.8.peg.1020
1_515: fig|200643.8.peg.1021
1_516: fig|200643.8.peg.1023
1_517: fig|200643.8.peg.1024
1_518: fig|200643.8.peg.1025
1_519: fig|200643.8.peg.1030
1_520: fig|200643.8.peg.1032
1_521: fig|200643.8.peg.1033
1_522: fig|200643.8.peg.1034
1_523: fig|200643.8.peg.1035
1_524: fig|200643.8.peg.1036
1_525: fig|200643.8.peg.1037
1_526: fig|200643.8.peg.1038
1_527: fig|200643.8.peg.1039
1_528: fig|200643.8.peg.1040
1_529: fig|200643.8.peg.1041
1_530: fig|200643.8.peg.1042
1_531: fig|200643.8.peg.1043
1_532: fig|200643.8.peg.1044
1_533: fig|200643.8.peg.1045
1_534: fig|200643.8.peg.1047
1_535: fig|200643.8.peg.1048
1_536: fig|200643.8.peg.1050
1_537: fig|200643.8.peg.1058
1_538: fig|200643.8.peg.1059
1_539: fig|200643.8.peg.1060
1_540: fig|200643.8.peg.1063
1_541: fig|200643.8.peg.1064
1_542: fig|200643.8.peg.1065
1_543: fig|200643.8.peg.1066
1_544: fig|200643.8.peg.1068
1_545: fig|200643.8.peg.1069
1_546: fig|200643.8.peg.1082
1_547: fig|200643.8.peg.1083
1_548: fig|200643.8.peg.1084
1_549: fig|200643.8.peg.1090
1_550: fig|200643.8.peg.1094
1_551: fig|200643.8.peg.1096
1_552: fig|200643.8.peg.1097
1_553: fig|200643.8.peg.1099
1_554: fig|200643.8.peg.1100
1_555: fig|200643.8.peg.1101
1_556: fig|200643.8.peg.1103
1_557: fig|200643.8.peg.1105
1_558: fig|200643.8.peg.1106
1_559: fig|200643.8.peg.1107
1_560: fig|200643.8.peg.1108
1_561: fig|200643.8.peg.1109
1_562: fig|200643.8.peg.1110
1_563: fig|200643.8.peg.1117
1_564: fig|200643.8.peg.1118
1_565: fig|200643.8.peg.1127
1_566: fig|200643.8.peg.1128
1_567: fig|200643.8.peg.1130
1_568: fig|200643.8.peg.1132
1_569: fig|200643.8.peg.1133
1_570: fig|200643.8.peg.1134
1_571: fig|200643.8.peg.1135
1_572: fig|200643.8.peg.1136
1_573: fig|200643.8.peg.1137
1_574: fig|200643.8.peg.1138
1_575: fig|200643.8.peg.1139
1_576: fig|200643.8.peg.1140
1_577: fig|200643.8.peg.1141
1_578: fig|200643.8.peg.1143
1_579: fig|200643.8.peg.1147
1_580: fig|200643.8.peg.1148
1_581: fig|200643.8.peg.1149
1_582: fig|200643.8.peg.1150
1_583: fig|200643.8.peg.1151
1_584: fig|200643.8.peg.1153
1_585: fig|200643.8.peg.1154
1_586: fig|200643.8.peg.1163
1_587: fig|200643.8.peg.1164
1_588: fig|200643.8.peg.1165
1_589: fig|200643.8.peg.1167
1_590: fig|200643.8.peg.1169
1_591: fig|200643.8.peg.1171
1_592: fig|200643.8.peg.1174
1_593: fig|200643.8.peg.1175
1_594: fig|200643.8.peg.1176
1_595: fig|200643.8.peg.1177
1_596: fig|200643.8.peg.1178
1_597: fig|200643.8.peg.1179
1_598: fig|200643.8.peg.1180
1_599: fig|200643.8.peg.1181
1_600: fig|200643.8.peg.1182
1_601: fig|200643.8.peg.1183
1_602: fig|200643.8.peg.1184
1_603: fig|200643.8.peg.1187
1_604: fig|200643.8.peg.1188
1_605: fig|200643.8.peg.1190
1_606: fig|200643.8.peg.1192
1_607: fig|200643.8.peg.1193
1_608: fig|200643.8.peg.1195
1_609: fig|200643.8.peg.1196
1_610: fig|200643.8.peg.1197
1_611: fig|200643.8.peg.1203
1_612: fig|200643.8.peg.1204
1_613: fig|200643.8.peg.1205
