"","gene_1","gene_2","gene_3","gene_4","gene_5","gene_6","gene_7","gene_8","gene_9","gene_10","gene_11","gene_12","gene_13","gene_14","gene_15","gene_16","gene_17","gene_18","gene_19","gene_20","gene_21","gene_22","gene_23","gene_24","gene_25","gene_26","gene_27","gene_28","gene_29","gene_30","gene_31","gene_32","gene_33","gene_34","gene_35","gene_36","gene_37","gene_38","gene_39","gene_40","gene_41","gene_42"
"OG0000320:","fig|1196095.96.peg.253","fig|1196095.108.peg.268","fig|1196095.127.peg.2249","fig|1196095.98.peg.2306","fig|1196095.110.peg.117","fig|1196095.112.peg.1722","fig|1196095.119.peg.586","fig|1196095.114.peg.1280","fig|1196095.100.peg.2","fig|1196095.123.peg.738","fig|1196095.132.peg.1864","fig|1196095.102.peg.1413","fig|1196095.115.peg.1771","fig|1196095.135.peg.442","fig|1196095.116.peg.2618","fig|1196095.95.peg.193","fig|1196095.113.peg.802","fig|1196095.106.peg.540","fig|1196095.121.peg.2304","fig|1196095.134.peg.562","fig|1196095.130.peg.90","fig|1196095.118.peg.553","fig|1196095.101.peg.70","fig|1196095.128.peg.2217","fig|1196095.99.peg.1452","fig|1196095.129.peg.825","fig|1196095.122.peg.1408","fig|1196095.94.peg.748","fig|1196095.104.peg.1008","fig|1196095.133.peg.2690","fig|1196095.124.peg.618","fig|1196095.103.peg.978","fig|1196095.107.peg.1787","fig|1196095.97.peg.1203","fig|1196095.109.peg.1414","fig|1196095.111.peg.77","fig|1196095.117.peg.1849","fig|1196095.120.peg.1565","fig|1196095.105.peg.1221","fig|1196095.126.peg.861","fig|1196095.125.peg.447","fig|1196095.131.peg.554"
"OG0000494:","fig|1196095.129.peg.795","fig|1196095.110.peg.2643","fig|1196095.101.peg.1420","fig|1196095.102.peg.2425","fig|1196095.105.peg.797","fig|1196095.107.peg.415","fig|1196095.116.peg.365","fig|1196095.118.peg.797","fig|1196095.115.peg.1947","fig|1196095.104.peg.1139","fig|1196095.128.peg.2416","fig|1196095.103.peg.126","fig|1196095.134.peg.866","fig|1196095.114.peg.119","fig|1196095.132.peg.643","fig|1196095.130.peg.1280","fig|1196095.119.peg.177","fig|1196095.126.peg.692","fig|1196095.125.peg.281","fig|1196095.106.peg.2180","fig|1196095.112.peg.178","fig|1196095.95.peg.253","fig|1196095.127.peg.2241","fig|1196095.122.peg.2296","fig|1196095.121.peg.2206","fig|1196095.109.peg.75","fig|1196095.108.peg.1402","fig|1196095.124.peg.728","fig|1196095.99.peg.1502","fig|1196095.113.peg.1480","fig|1196095.133.peg.1193","fig|1196095.120.peg.1346","fig|1196095.96.peg.1208","fig|1196095.123.peg.1988","fig|1196095.117.peg.577","fig|1196095.111.peg.1861","fig|1196095.97.peg.495","fig|1196095.94.peg.1162","fig|1196095.131.peg.1042","fig|1196095.100.peg.449","fig|1196095.135.peg.646","fig|1196095.98.peg.1616"
"OG0000495:","fig|1196095.110.peg.2644","fig|1196095.135.peg.645","fig|1196095.129.peg.796","fig|1196095.101.peg.1421","fig|1196095.105.peg.796","fig|1196095.116.peg.366","fig|1196095.107.peg.416","fig|1196095.97.peg.496","fig|1196095.104.peg.1140","fig|1196095.115.peg.1948","fig|1196095.103.peg.127","fig|1196095.134.peg.865","fig|1196095.114.peg.118","fig|1196095.132.peg.642","fig|1196095.128.peg.2417","fig|1196095.130.peg.1279","fig|1196095.127.peg.2240","fig|1196095.119.peg.178","fig|1196095.124.peg.727","fig|1196095.126.peg.693","fig|1196095.106.peg.2179","fig|1196095.122.peg.2297","fig|1196095.125.peg.282","fig|1196095.102.peg.2424","fig|1196095.112.peg.179","fig|1196095.95.peg.254","fig|1196095.121.peg.2205","fig|1196095.109.peg.76","fig|1196095.133.peg.1688","fig|1196095.108.peg.1401","fig|1196095.99.peg.1503","fig|1196095.113.peg.1479","fig|1196095.120.peg.1347","fig|1196095.123.peg.1989","fig|1196095.96.peg.1207","fig|1196095.117.peg.576","fig|1196095.111.peg.1860","fig|1196095.118.peg.796","fig|1196095.94.peg.1163","fig|1196095.131.peg.1041","fig|1196095.100.peg.450","fig|1196095.98.peg.1615"
"OG0000496:","fig|1196095.110.peg.2646","fig|1196095.129.peg.798","fig|1196095.101.peg.1424","fig|1196095.111.peg.1858","fig|1196095.105.peg.794","fig|1196095.107.peg.418","fig|1196095.103.peg.130","fig|1196095.97.peg.498","fig|1196095.115.peg.1950","fig|1196095.128.peg.2419","fig|1196095.114.peg.116","fig|1196095.135.peg.643","fig|1196095.131.peg.1039","fig|1196095.130.peg.1277","fig|1196095.134.peg.863","fig|1196095.127.peg.2238","fig|1196095.125.peg.284","fig|1196095.133.peg.337","fig|1196095.94.peg.1165","fig|1196095.106.peg.2177","fig|1196095.126.peg.696","fig|1196095.119.peg.180","fig|1196095.102.peg.2422","fig|1196095.118.peg.794","fig|1196095.109.peg.78","fig|1196095.95.peg.256","fig|1196095.112.peg.181","fig|1196095.122.peg.2299","fig|1196095.121.peg.2203","fig|1196095.104.peg.1142","fig|1196095.124.peg.725","fig|1196095.108.peg.1399","fig|1196095.98.peg.1613","fig|1196095.113.peg.1477","fig|1196095.132.peg.640","fig|1196095.116.peg.368","fig|1196095.99.peg.1505","fig|1196095.123.peg.1991","fig|1196095.96.peg.1205","fig|1196095.120.peg.1349","fig|1196095.117.peg.574","fig|1196095.100.peg.453"
"OG0000497:","fig|1196095.107.peg.419","fig|1196095.110.peg.2647","fig|1196095.122.peg.2300","fig|1196095.129.peg.799","fig|1196095.101.peg.1425","fig|1196095.105.peg.793","fig|1196095.116.peg.369","fig|1196095.117.peg.573","fig|1196095.103.peg.131","fig|1196095.97.peg.501","fig|1196095.134.peg.862","fig|1196095.115.peg.1951","fig|1196095.128.peg.2420","fig|1196095.135.peg.642","fig|1196095.131.peg.1038","fig|1196095.127.peg.2237","fig|1196095.125.peg.285","fig|1196095.108.peg.1398","fig|1196095.106.peg.2176","fig|1196095.98.peg.1612","fig|1196095.94.peg.1166","fig|1196095.119.peg.181","fig|1196095.118.peg.793","fig|1196095.109.peg.79","fig|1196095.126.peg.697","fig|1196095.95.peg.257","fig|1196095.112.peg.182","fig|1196095.133.peg.3264","fig|1196095.104.peg.1143","fig|1196095.121.peg.2202","fig|1196095.102.peg.2421","fig|1196095.113.peg.1476","fig|1196095.132.peg.639","fig|1196095.99.peg.1506","fig|1196095.96.peg.1204","fig|1196095.123.peg.1992","fig|1196095.120.peg.1350","fig|1196095.130.peg.1276","fig|1196095.111.peg.1857","fig|1196095.114.peg.115","fig|1196095.124.peg.724","fig|1196095.100.peg.454"
"OG0000498:","fig|1196095.107.peg.420","fig|1196095.99.peg.1507","fig|1196095.122.peg.2301","fig|1196095.129.peg.800","fig|1196095.116.peg.370","fig|1196095.95.peg.258","fig|1196095.105.peg.792","fig|1196095.117.peg.572","fig|1196095.134.peg.861","fig|1196095.121.peg.2201","fig|1196095.115.peg.1952","fig|1196095.128.peg.2421","fig|1196095.131.peg.1037","fig|1196095.135.peg.641","fig|1196095.127.peg.2236","fig|1196095.125.peg.286","fig|1196095.98.peg.1611","fig|1196095.94.peg.1167","fig|1196095.106.peg.2175","fig|1196095.112.peg.183","fig|1196095.109.peg.80","fig|1196095.101.peg.1426","fig|1196095.108.peg.1397","fig|1196095.104.peg.1144","fig|1196095.103.peg.132","fig|1196095.118.peg.792","fig|1196095.97.peg.502","fig|1196095.102.peg.2420","fig|1196095.113.peg.1475","fig|1196095.132.peg.638","fig|1196095.126.peg.698","fig|1196095.110.peg.2648","fig|1196095.119.peg.182","fig|1196095.123.peg.1993","fig|1196095.96.peg.1203","fig|1196095.120.peg.1351","fig|1196095.133.peg.2535","fig|1196095.130.peg.1275","fig|1196095.111.peg.1856","fig|1196095.114.peg.114","fig|1196095.124.peg.723","fig|1196095.100.peg.455"
"OG0000499:","fig|1196095.116.peg.372","fig|1196095.122.peg.2303","fig|1196095.129.peg.802","fig|1196095.109.peg.82","fig|1196095.128.peg.2423","fig|1196095.134.peg.859","fig|1196095.113.peg.1473","fig|1196095.126.peg.700","fig|1196095.115.peg.1954","fig|1196095.131.peg.1035","fig|1196095.117.peg.570","fig|1196095.110.peg.2650","fig|1196095.125.peg.288","fig|1196095.98.peg.1609","fig|1196095.96.peg.1201","fig|1196095.112.peg.185","fig|1196095.100.peg.457","fig|1196095.111.peg.1854","fig|1196095.94.peg.1169","fig|1196095.106.peg.2173","fig|1196095.107.peg.422","fig|1196095.99.peg.1509","fig|1196095.105.peg.790","fig|1196095.101.peg.1428","fig|1196095.103.peg.134","fig|1196095.95.peg.260","fig|1196095.108.peg.1395","fig|1196095.97.peg.504","fig|1196095.102.peg.2418","fig|1196095.118.peg.790","fig|1196095.104.peg.1146","fig|1196095.121.peg.2199","fig|1196095.132.peg.636","fig|1196095.119.peg.184","fig|1196095.114.peg.112","fig|1196095.133.peg.109","fig|1196095.130.peg.1273","fig|1196095.120.peg.1353","fig|1196095.123.peg.1995","fig|1196095.135.peg.639","fig|1196095.124.peg.721","fig|1196095.127.peg.2234"
"OG0000500:","fig|1196095.122.peg.2304","fig|1196095.108.peg.806","fig|1196095.96.peg.260","fig|1196095.95.peg.262","fig|1196095.98.peg.2302","fig|1196095.124.peg.553","fig|1196095.126.peg.701","fig|1196095.112.peg.1726","fig|1196095.111.peg.1853","fig|1196095.99.peg.1456","fig|1196095.131.peg.1034","fig|1196095.123.peg.1996","fig|1196095.107.peg.1783","fig|1196095.117.peg.568","fig|1196095.135.peg.638","fig|1196095.110.peg.2651","fig|1196095.109.peg.1418","fig|1196095.125.peg.289","fig|1196095.113.peg.367","fig|1196095.100.peg.458","fig|1196095.94.peg.1171","fig|1196095.116.peg.374","fig|1196095.129.peg.803","fig|1196095.101.peg.1429","fig|1196095.105.peg.788","fig|1196095.103.peg.135","fig|1196095.102.peg.2417","fig|1196095.104.peg.1147","fig|1196095.121.peg.2198","fig|1196095.134.peg.858","fig|1196095.132.peg.635","fig|1196095.118.peg.2337","fig|1196095.115.peg.1959","fig|1196095.128.peg.2424","fig|1196095.119.peg.185","fig|1196095.97.peg.1212","fig|1196095.114.peg.110","fig|1196095.120.peg.1561","fig|1196095.130.peg.1272","fig|1196095.127.peg.2233","fig|1196095.106.peg.67","fig|1196095.133.peg.2922"
"OG0000501:","fig|1196095.108.peg.803","fig|1196095.96.peg.258","fig|1196095.122.peg.2307","fig|1196095.95.peg.265","fig|1196095.111.peg.1851","fig|1196095.118.peg.2339","fig|1196095.120.peg.1679","fig|1196095.126.peg.704","fig|1196095.124.peg.555","fig|1196095.128.peg.2427","fig|1196095.123.peg.1999","fig|1196095.131.peg.1031","fig|1196095.117.peg.566","fig|1196095.110.peg.2653","fig|1196095.134.peg.855","fig|1196095.133.peg.2590","fig|1196095.135.peg.635","fig|1196095.113.peg.364","fig|1196095.106.peg.1634","fig|1196095.125.peg.292","fig|1196095.129.peg.806","fig|1196095.116.peg.376","fig|1196095.101.peg.1432","fig|1196095.105.peg.786","fig|1196095.102.peg.2414","fig|1196095.104.peg.1149","fig|1196095.97.peg.1385","fig|1196095.103.peg.138","fig|1196095.132.peg.632","fig|1196095.119.peg.188","fig|1196095.98.peg.2317","fig|1196095.109.peg.1076","fig|1196095.115.peg.1962","fig|1196095.107.peg.337","fig|1196095.100.peg.461","fig|1196095.114.peg.107","fig|1196095.94.peg.1174","fig|1196095.112.peg.616","fig|1196095.130.peg.1269","fig|1196095.127.peg.2230","fig|1196095.99.peg.1724","fig|1196095.121.peg.2195"
"OG0000502:","fig|1196095.108.peg.801","fig|1196095.95.peg.267","fig|1196095.122.peg.2309","fig|1196095.104.peg.1153","fig|1196095.128.peg.2431","fig|1196095.111.peg.1848","fig|1196095.118.peg.2342","fig|1196095.126.peg.706","fig|1196095.119.peg.619","fig|1196095.132.peg.630","fig|1196095.124.peg.558","fig|1196095.117.peg.562","fig|1196095.133.peg.3073","fig|1196095.123.peg.2001","fig|1196095.127.peg.2228","fig|1196095.97.peg.1391","fig|1196095.135.peg.633","fig|1196095.110.peg.2656","fig|1196095.113.peg.362","fig|1196095.100.peg.463","fig|1196095.101.peg.1434","fig|1196095.116.peg.380","fig|1196095.96.peg.328","fig|1196095.129.peg.808","fig|1196095.105.peg.783","fig|1196095.102.peg.2412","fig|1196095.103.peg.140","fig|1196095.99.peg.1721","fig|1196095.98.peg.2320","fig|1196095.107.peg.332","fig|1196095.134.peg.852","fig|1196095.109.peg.1079","fig|1196095.115.peg.1964","fig|1196095.94.peg.1176","fig|1196095.114.peg.105","fig|1196095.112.peg.619","fig|1196095.130.peg.1266","fig|1196095.131.peg.1029","fig|1196095.120.peg.1676","fig|1196095.106.peg.1631","fig|1196095.121.peg.2193","fig|1196095.125.peg.294"
"OG0000503:","fig|1196095.102.peg.2411","fig|1196095.95.peg.268","fig|1196095.122.peg.2310","fig|1196095.104.peg.1154","fig|1196095.111.peg.1847","fig|1196095.118.peg.2343","fig|1196095.126.peg.707","fig|1196095.119.peg.620","fig|1196095.132.peg.629","fig|1196095.124.peg.559","fig|1196095.117.peg.561","fig|1196095.123.peg.2002","fig|1196095.135.peg.632","fig|1196095.133.peg.3620","fig|1196095.110.peg.2657","fig|1196095.120.peg.1675","fig|1196095.106.peg.1630","fig|1196095.113.peg.361","fig|1196095.100.peg.464","fig|1196095.97.peg.1392","fig|1196095.116.peg.381","fig|1196095.96.peg.327","fig|1196095.129.peg.809","fig|1196095.105.peg.782","fig|1196095.103.peg.141","fig|1196095.99.peg.1720","fig|1196095.108.peg.800","fig|1196095.115.peg.1965","fig|1196095.134.peg.851","fig|1196095.107.peg.331","fig|1196095.109.peg.1080","fig|1196095.128.peg.2432","fig|1196095.131.peg.1028","fig|1196095.94.peg.1177","fig|1196095.114.peg.104","fig|1196095.101.peg.216","fig|1196095.112.peg.620","fig|1196095.130.peg.1265","fig|1196095.121.peg.2192","fig|1196095.98.peg.2321","fig|1196095.127.peg.2227","fig|1196095.125.peg.295"
"OG0000504:","fig|1196095.133.peg.3621","fig|1196095.102.peg.2410","fig|1196095.95.peg.269","fig|1196095.135.peg.631","fig|1196095.104.peg.1155","fig|1196095.118.peg.2344","fig|1196095.107.peg.330","fig|1196095.119.peg.621","fig|1196095.111.peg.1846","fig|1196095.126.peg.708","fig|1196095.123.peg.2003","fig|1196095.114.peg.103","fig|1196095.112.peg.621","fig|1196095.96.peg.326","fig|1196095.110.peg.2658","fig|1196095.98.peg.2322","fig|1196095.121.peg.2191","fig|1196095.120.peg.1674","fig|1196095.113.peg.360","fig|1196095.100.peg.465","fig|1196095.97.peg.1393","fig|1196095.103.peg.142","fig|1196095.129.peg.810","fig|1196095.116.peg.382","fig|1196095.122.peg.2311","fig|1196095.105.peg.781","fig|1196095.99.peg.1719","fig|1196095.108.peg.799","fig|1196095.115.peg.1966","fig|1196095.109.peg.1081","fig|1196095.134.peg.850","fig|1196095.128.peg.2433","fig|1196095.124.peg.560","fig|1196095.94.peg.1178","fig|1196095.131.peg.1027","fig|1196095.101.peg.215","fig|1196095.117.peg.560","fig|1196095.130.peg.1264","fig|1196095.132.peg.628","fig|1196095.125.peg.296","fig|1196095.127.peg.2226","fig|1196095.106.peg.1629"
"OG0000505:","fig|1196095.115.peg.1967","fig|1196095.99.peg.1718","fig|1196095.102.peg.2409","fig|1196095.104.peg.1156","fig|1196095.135.peg.630","fig|1196095.120.peg.1673","fig|1196095.124.peg.561","fig|1196095.107.peg.329","fig|1196095.111.peg.1845","fig|1196095.119.peg.622","fig|1196095.126.peg.709","fig|1196095.101.peg.214","fig|1196095.123.peg.2004","fig|1196095.133.peg.3497","fig|1196095.130.peg.1263","fig|1196095.110.peg.2659","fig|1196095.98.peg.2323","fig|1196095.100.peg.466","fig|1196095.95.peg.270","fig|1196095.117.peg.559","fig|1196095.106.peg.1628","fig|1196095.113.peg.359","fig|1196095.96.peg.325","fig|1196095.97.peg.1394","fig|1196095.103.peg.143","fig|1196095.129.peg.811","fig|1196095.122.peg.2312","fig|1196095.116.peg.383","fig|1196095.105.peg.780","fig|1196095.109.peg.1082","fig|1196095.134.peg.849","fig|1196095.128.peg.2434","fig|1196095.108.peg.798","fig|1196095.131.peg.1026","fig|1196095.94.peg.1179","fig|1196095.114.peg.102","fig|1196095.118.peg.2345","fig|1196095.132.peg.627","fig|1196095.112.peg.622","fig|1196095.121.peg.2190","fig|1196095.127.peg.2225","fig|1196095.125.peg.297"
"OG0000506:","fig|1196095.115.peg.1969","fig|1196095.135.peg.628","fig|1196095.102.peg.2406","fig|1196095.95.peg.272","fig|1196095.104.peg.1158","fig|1196095.99.peg.1715","fig|1196095.132.peg.625","fig|1196095.101.peg.212","fig|1196095.111.peg.1843","fig|1196095.134.peg.846","fig|1196095.107.peg.326","fig|1196095.110.peg.2661","fig|1196095.114.peg.100","fig|1196095.123.peg.2006","fig|1196095.98.peg.2326","fig|1196095.125.peg.299","fig|1196095.127.peg.2223","fig|1196095.103.peg.145","fig|1196095.113.peg.356","fig|1196095.96.peg.322","fig|1196095.122.peg.2314","fig|1196095.97.peg.1397","fig|1196095.124.peg.563","fig|1196095.112.peg.625","fig|1196095.116.peg.385","fig|1196095.129.peg.813","fig|1196095.105.peg.778","fig|1196095.126.peg.711","fig|1196095.128.peg.2437","fig|1196095.119.peg.625","fig|1196095.109.peg.1085","fig|1196095.130.peg.1234","fig|1196095.108.peg.795","fig|1196095.94.peg.1181","fig|1196095.117.peg.557","fig|1196095.131.peg.1023","fig|1196095.120.peg.1670","fig|1196095.100.peg.468","fig|1196095.133.peg.2488","fig|1196095.118.peg.2347","fig|1196095.121.peg.2188","fig|1196095.106.peg.1626"
"OG0000507:","fig|1196095.135.peg.627","fig|1196095.126.peg.712","fig|1196095.102.peg.2405","fig|1196095.104.peg.1159","fig|1196095.129.peg.820","fig|1196095.116.peg.386","fig|1196095.101.peg.211","fig|1196095.96.peg.321","fig|1196095.120.peg.1681","fig|1196095.94.peg.1182","fig|1196095.130.peg.1227","fig|1196095.118.peg.2348","fig|1196095.128.peg.2445","fig|1196095.133.peg.2456","fig|1196095.97.peg.1383","fig|1196095.114.peg.96","fig|1196095.95.peg.273","fig|1196095.134.peg.840","fig|1196095.127.peg.2216","fig|1196095.125.peg.304","fig|1196095.122.peg.2318","fig|1196095.117.peg.556","fig|1196095.112.peg.1109","fig|1196095.124.peg.564","fig|1196095.99.peg.1726","fig|1196095.121.peg.2181","fig|1196095.107.peg.339","fig|1196095.119.peg.626","fig|1196095.108.peg.794","fig|1196095.115.peg.1973","fig|1196095.109.peg.1074","fig|1196095.98.peg.2315","fig|1196095.111.peg.1842","fig|1196095.131.peg.1022","fig|1196095.123.peg.2010","fig|1196095.110.peg.2662","fig|1196095.132.peg.618","fig|1196095.100.peg.469","fig|1196095.105.peg.777","fig|1196095.106.peg.1625","fig|1196095.113.peg.355","fig|1196095.103.peg.146"
"OG0000508:","fig|1196095.111.peg.468","fig|1196095.130.peg.2391","fig|1196095.102.peg.2438","fig|1196095.105.peg.1925","fig|1196095.101.peg.1106","fig|1196095.113.peg.1388","fig|1196095.103.peg.1820","fig|1196095.115.peg.1927","fig|1196095.131.peg.1115","fig|1196095.95.peg.119","fig|1196095.98.peg.1709","fig|1196095.104.peg.2080","fig|1196095.108.peg.1194","fig|1196095.117.peg.2515","fig|1196095.134.peg.1275","fig|1196095.109.peg.56","fig|1196095.123.peg.1140","fig|1196095.99.peg.2345","fig|1196095.125.peg.2244","fig|1196095.121.peg.1577","fig|1196095.94.peg.232","fig|1196095.112.peg.1165","fig|1196095.122.peg.2171","fig|1196095.119.peg.422","fig|1196095.114.peg.1517","fig|1196095.124.peg.396","fig|1196095.106.peg.688","fig|1196095.96.peg.304","fig|1196095.132.peg.348","fig|1196095.133.peg.3669","fig|1196095.135.peg.848","fig|1196095.127.peg.1368","fig|1196095.129.peg.880","fig|1196095.126.peg.2088","fig|1196095.107.peg.1432","fig|1196095.120.peg.2289","fig|1196095.128.peg.2395","fig|1196095.118.peg.1109","fig|1196095.97.peg.676","fig|1196095.116.peg.1142","fig|1196095.100.peg.477","fig|1196095.110.peg.617"
"OG0000509:","fig|1196095.134.peg.1271","fig|1196095.102.peg.2442","fig|1196095.111.peg.464","fig|1196095.121.peg.1586","fig|1196095.122.peg.2167","fig|1196095.124.peg.400","fig|1196095.106.peg.684","fig|1196095.112.peg.761","fig|1196095.103.peg.1826","fig|1196095.115.peg.1931","fig|1196095.118.peg.1105","fig|1196095.133.peg.3328","fig|1196095.129.peg.870","fig|1196095.116.peg.604","fig|1196095.95.peg.115","fig|1196095.131.peg.1111","fig|1196095.98.peg.1705","fig|1196095.117.peg.2519","fig|1196095.123.peg.1144","fig|1196095.99.peg.2349","fig|1196095.125.peg.2240","fig|1196095.130.peg.2395","fig|1196095.104.peg.2084","fig|1196095.94.peg.228","fig|1196095.101.peg.1437","fig|1196095.110.peg.621","fig|1196095.114.peg.1526","fig|1196095.132.peg.344","fig|1196095.127.peg.1359","fig|1196095.120.peg.2285","fig|1196095.126.peg.2092","fig|1196095.135.peg.853","fig|1196095.105.peg.1921","fig|1196095.107.peg.1428","fig|1196095.119.peg.418","fig|1196095.97.peg.671","fig|1196095.100.peg.481","fig|1196095.109.peg.60","fig|1196095.113.peg.450","fig|1196095.108.peg.1203","fig|1196095.128.peg.2399","fig|1196095.96.peg.300"
"OG0000510:","fig|1196095.99.peg.2351","fig|1196095.130.peg.2397","fig|1196095.103.peg.1828","fig|1196095.115.peg.1933","fig|1196095.112.peg.763","fig|1196095.116.peg.606","fig|1196095.118.peg.1103","fig|1196095.95.peg.113","fig|1196095.124.peg.402","fig|1196095.121.peg.1588","fig|1196095.129.peg.868","fig|1196095.122.peg.2165","fig|1196095.98.peg.1703","fig|1196095.128.peg.2401","fig|1196095.102.peg.2444","fig|1196095.117.peg.2521","fig|1196095.105.peg.1919","fig|1196095.106.peg.682","fig|1196095.127.peg.1357","fig|1196095.97.peg.669","fig|1196095.104.peg.2086","fig|1196095.134.peg.1269","fig|1196095.114.peg.1528","fig|1196095.133.peg.2551","fig|1196095.101.peg.1439","fig|1196095.94.peg.226","fig|1196095.123.peg.1146","fig|1196095.132.peg.342","fig|1196095.120.peg.2283","fig|1196095.110.peg.623","fig|1196095.135.peg.855","fig|1196095.119.peg.416","fig|1196095.131.peg.1109","fig|1196095.111.peg.462","fig|1196095.107.peg.1426","fig|1196095.125.peg.2238","fig|1196095.126.peg.2094","fig|1196095.96.peg.298","fig|1196095.100.peg.483","fig|1196095.109.peg.62","fig|1196095.113.peg.452","fig|1196095.108.peg.1205"
"OG0000511:","fig|1196095.111.peg.461","fig|1196095.121.peg.1589","fig|1196095.106.peg.681","fig|1196095.130.peg.2398","fig|1196095.122.peg.2164","fig|1196095.99.peg.2352","fig|1196095.118.peg.1102","fig|1196095.115.peg.1934","fig|1196095.103.peg.1829","fig|1196095.101.peg.1440","fig|1196095.129.peg.867","fig|1196095.95.peg.112","fig|1196095.133.peg.2550","fig|1196095.116.peg.607","fig|1196095.135.peg.856","fig|1196095.98.peg.1702","fig|1196095.102.peg.2445","fig|1196095.109.peg.63","fig|1196095.124.peg.403","fig|1196095.117.peg.2522","fig|1196095.125.peg.2237","fig|1196095.97.peg.668","fig|1196095.104.peg.2087","fig|1196095.134.peg.1268","fig|1196095.128.peg.2402","fig|1196095.94.peg.225","fig|1196095.114.peg.1529","fig|1196095.112.peg.764","fig|1196095.132.peg.341","fig|1196095.120.peg.2282","fig|1196095.127.peg.1356","fig|1196095.131.peg.1108","fig|1196095.119.peg.415","fig|1196095.107.peg.1425","fig|1196095.126.peg.2095","fig|1196095.105.peg.1918","fig|1196095.123.peg.1147","fig|1196095.96.peg.297","fig|1196095.100.peg.484","fig|1196095.113.peg.453","fig|1196095.108.peg.1206","fig|1196095.110.peg.624"
"OG0000512:","fig|1196095.106.peg.680","fig|1196095.111.peg.460","fig|1196095.122.peg.2163","fig|1196095.125.peg.2236","fig|1196095.124.peg.404","fig|1196095.103.peg.1830","fig|1196095.130.peg.2399","fig|1196095.99.peg.2353","fig|1196095.118.peg.1101","fig|1196095.121.peg.1590","fig|1196095.115.peg.1935","fig|1196095.101.peg.1441","fig|1196095.95.peg.111","fig|1196095.107.peg.1424","fig|1196095.129.peg.866","fig|1196095.116.peg.608","fig|1196095.127.peg.1355","fig|1196095.135.peg.857","fig|1196095.98.peg.1701","fig|1196095.102.peg.2446","fig|1196095.100.peg.485","fig|1196095.119.peg.414","fig|1196095.117.peg.2523","fig|1196095.104.peg.2088","fig|1196095.128.peg.2403","fig|1196095.134.peg.1267","fig|1196095.94.peg.224","fig|1196095.97.peg.667","fig|1196095.114.peg.1530","fig|1196095.112.peg.765","fig|1196095.131.peg.1107","fig|1196095.120.peg.2281","fig|1196095.105.peg.1917","fig|1196095.132.peg.340","fig|1196095.126.peg.2096","fig|1196095.133.peg.2824","fig|1196095.123.peg.1148","fig|1196095.96.peg.296","fig|1196095.109.peg.64","fig|1196095.113.peg.454","fig|1196095.108.peg.1207","fig|1196095.110.peg.625"
"OG0000513:","fig|1196095.106.peg.678","fig|1196095.122.peg.2161","fig|1196095.94.peg.222","fig|1196095.125.peg.2234","fig|1196095.121.peg.1592","fig|1196095.124.peg.406","fig|1196095.101.peg.1443","fig|1196095.107.peg.1422","fig|1196095.119.peg.412","fig|1196095.127.peg.1353","fig|1196095.132.peg.338","fig|1196095.120.peg.2279","fig|1196095.135.peg.859","fig|1196095.100.peg.487","fig|1196095.99.peg.2355","fig|1196095.102.peg.2448","fig|1196095.104.peg.2090","fig|1196095.133.peg.46","fig|1196095.111.peg.458","fig|1196095.134.peg.1265","fig|1196095.128.peg.2405","fig|1196095.97.peg.665","fig|1196095.115.peg.1937","fig|1196095.112.peg.767","fig|1196095.114.peg.1532","fig|1196095.103.peg.1832","fig|1196095.118.peg.183","fig|1196095.126.peg.2098","fig|1196095.95.peg.109","fig|1196095.131.peg.1105","fig|1196095.98.peg.1699","fig|1196095.110.peg.627","fig|1196095.108.peg.1209","fig|1196095.123.peg.1150","fig|1196095.96.peg.294","fig|1196095.130.peg.2401","fig|1196095.116.peg.610","fig|1196095.129.peg.864","fig|1196095.117.peg.2525","fig|1196095.105.peg.1915","fig|1196095.109.peg.66","fig|1196095.113.peg.456"
"OG0000514:","fig|1196095.122.peg.2160","fig|1196095.106.peg.677","fig|1196095.125.peg.2233","fig|1196095.94.peg.221","fig|1196095.121.peg.1593","fig|1196095.130.peg.2402","fig|1196095.124.peg.407","fig|1196095.101.peg.1444","fig|1196095.119.peg.411","fig|1196095.127.peg.1352","fig|1196095.108.peg.1210","fig|1196095.135.peg.860","fig|1196095.120.peg.2278","fig|1196095.107.peg.1421","fig|1196095.100.peg.488","fig|1196095.102.peg.2449","fig|1196095.99.peg.2356","fig|1196095.133.peg.356","fig|1196095.111.peg.457","fig|1196095.134.peg.1264","fig|1196095.104.peg.2091","fig|1196095.112.peg.768","fig|1196095.103.peg.1833","fig|1196095.115.peg.1938","fig|1196095.97.peg.664","fig|1196095.129.peg.863","fig|1196095.128.peg.2406","fig|1196095.114.peg.1533","fig|1196095.118.peg.182","fig|1196095.131.peg.1104","fig|1196095.126.peg.2099","fig|1196095.98.peg.1698","fig|1196095.116.peg.611","fig|1196095.95.peg.108","fig|1196095.105.peg.1914","fig|1196095.113.peg.457","fig|1196095.109.peg.67","fig|1196095.110.peg.628","fig|1196095.123.peg.1151","fig|1196095.96.peg.293","fig|1196095.132.peg.337","fig|1196095.117.peg.2526"
